,id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta,genero,minutos,horas,dia,mes
2065375,23816792,1713,2024-11-11 01:13:56,277,292 - PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,-58.436115,-34.563539,2024-11-11 01:42:29,216,059 - Coronel Diaz,Guemes 3330 & Coronel Diaz,-58.411493,-34.589968,1058462.0,FIT,MALE,13,11,1,11
2789868,23816793,2266,2024-11-11 01:14:08,96,096 - Carlos Gardel,3302 Guardia Vieja & Aguero,-58.4116586,-34.6027814,2024-11-11 01:51:54,150,150 - RODRIGO BUENO,Av. España 2200,-58.3554654,-34.6187547,1140010.0,FIT,FEMALE,14,11,1,11
2854519,23816794,1637,2024-11-11 01:15:10,277,292 - PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,-58.436115,-34.563539,2024-11-11 01:42:27,216,059 - Coronel Diaz,Guemes 3330 & Coronel Diaz,-58.411493,-34.589968,1249205.0,ICONIC,MALE,15,11,1,11
2789847,23816795,884,2024-11-11 01:17:56,112,112 - 9 de Julio,Bernardo Irigoyen 320,-58.38038400000001,-34.612075,2024-11-11 01:32:40,131,131- HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",-58.39901580000001,-34.5984043,1145152.0,FIT,MALE,17,11,1,11
2347675,23816796,2,2024-11-11 01:19:52,381,274 - Gavilán,Gavilán 1200,-58.4658836,-34.6162466,2024-11-11 01:19:54,348,231 - Margariños Cervantes,2465 Margariños Cervantes,-58.474369,-34.610482,1132139.0,ICONIC,MALE,19,11,1,11
2393880,23816798,4031,2024-11-11 01:21:16,200,200 - AUSTRIA Y FRENCH,Austria 2075,-58.40426080000001,-34.5882997,2024-11-11 02:28:27,181,181 - BILLINGHURST Y MANSILLA,"1520 Billinghurst & Mansilla, Lucio Norberto, General",-58.412007200000005,-34.5926649,1228895.0,FIT,MALE,21,11,1,11
2767915,23816800,1115,2024-11-11 01:23:12,543,139 - CASA ROSADA,Av. Alicia Moreau de Justo 861,-58.366741024467466,-34.60748033900249,2024-11-11 01:41:47,448,393 - Barrio 31,Islas Galápagos 2800,-58.3788,-34.58209,1130405.0,FIT,MALE,23,11,1,11
2856900,23816802,1184,2024-11-11 01:24:42,440,142 - ARMENIA,ARMENIA 1525 y GORRITI,-58.42889899999998,-34.5906475,2024-11-11 01:44:26,80,080 - VALLE,Valle 486,-58.43412319999999,-34.6245807,1243897.0,ICONIC,FEMALE,24,11,1,11
2768539,23816803,250,2024-11-11 01:26:43,213,136 - Acevedo,Acevedo y Padilla,-58.442685,-34.599659,2024-11-11 01:30:53,535,090 - HONORIO PUEYRREDON,Honorio Pueyrredón 1653,-58.449658973016376,-34.60251720000001,1224552.0,FIT,MALE,26,11,1,11
2211552,23816804,739,2024-11-11 01:27:25,45,045 - Uruguay,561 Uruguay & Av. Tucuman,-58.38669339999999,-34.6018635,2024-11-11 01:39:44,163,163 - ONCE II,Bartolome Mitre & Av. Puyrredon,-58.4064308,-34.6095663,1245591.0,ICONIC,MALE,27,11,1,11
2347676,23816805,2,2024-11-11 01:27:37,335,206 - Galicia,2502 Galicia,-58.47098,-34.615945,2024-11-11 01:27:39,348,231 - Margariños Cervantes,2465 Margariños Cervantes,-58.474369,-34.610482,1244949.0,FIT,MALE,27,11,1,11
2856922,23816806,1024,2024-11-11 01:28:07,440,142 - ARMENIA,ARMENIA 1525 y GORRITI,-58.42889899999998,-34.5906475,2024-11-11 01:45:11,529,011 - RIO DE JANEIRO,Río de Janeiro 205,-58.43011879451216,-34.61325931284073,1188459.0,FIT,MALE,28,11,1,11
2211506,23816807,545,2024-11-11 01:28:17,6,006 - Parque Lezama,"Avenida Martin Garcia, 295",-58.369758,-34.628526,2024-11-11 01:37:22,433,273 - Plazoleta Colombia,1619 Brandsen,-58.373726000000005,-34.637697,9177.0,FIT,MALE,28,11,1,11
2065291,23816808,1603,2024-11-11 01:28:29,481,369 - PLAZA LARRAZABAL,AV. LARRAZABAL 380,-58.5127001,-34.6430378,2024-11-11 01:55:12,566,306 - PLAZA RAVIGNANI,Cnel. Ramón Lista 5200,-58.52286099999999,-34.61325,1049157.0,FIT,MALE,28,11,1,11
2347802,23816809,990,2024-11-11 01:29:19,167,275 - PLAZA 24 DE SEPTIEMBRE,1355 San Martin Av.,-58.44854,-34.606984,2024-11-11 01:45:49,479,347 - CARABOBO,Pumacahua 9,-58.45530009999998,-34.6262877,1161019.0,FIT,FEMALE,29,11,1,11
